sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni06,57NI,09/24/2025 15:43:00,h,446029.97924225306,50895.56012752101,"[446029.97924225306, 0.0]","[[2590358040.694106, 0.0], [0.0, 0.0]]",Ni06_peakData_combined.csv,
Ni06,56CO,09/24/2025 15:43:00,h,8482.656790409965,74.84420575022392,[8482.656790409965],[[5601.655134381851]],Ni06_peakData_combined.csv,
Ni06,56NI,09/24/2025 15:43:00,h,4677.815948714542,690.9945749501187,"[4677.815948714542, 0.0]","[[477473.5026104952, 0.0], [0.0, 0.0]]",Ni06_peakData_combined.csv,
Ni06,58CO,09/24/2025 15:43:00,h,3314.9970404960713,309.0651098734045,[3314.9970404960713],[[95521.24214105959]],Ni06_peakData_combined.csv,
Ni06,57CO,09/24/2025 15:43:00,h,4039.456954860329,156.78310347387603,[4039.456954860329],[[24580.941534900117]],Ni06_peakData_combined.csv,
Ni06,55CO,09/24/2025 15:43:00,h,17300.60611340549,1328.514903875716,"[17300.60611340549, 0.0]","[[1764951.849819903, 0.0], [0.0, 0.0]]",Ni06_peakData_combined.csv,
Ni07,57NI,09/24/2025 15:43:00,h,610278.8103639258,71956.93115639858,"[610278.8103639258, 0.0]","[[5177799941.446686, 0.0], [0.0, 0.0]]",Ni07_peakData_combined.csv,
Ni07,56CO,09/24/2025 15:43:00,h,3851.5334516090265,34.83028989500466,[3851.5334516090265],[[1213.1490941700638]],Ni07_peakData_combined.csv,
Ni07,56NI,09/24/2025 15:43:00,h,2192.918392291281,310.6685365402029,"[2192.918392291281, 0.0]","[[96514.93959603139, 0.0], [0.0, 0.0]]",Ni07_peakData_combined.csv,
Ni07,58CO,09/24/2025 15:43:00,h,1353.5012963490835,171.43864593835713,[1353.5012963490835],[[29391.20932117737]],Ni07_peakData_combined.csv,
Ni07,57CO,09/24/2025 15:43:00,h,5722.942324451458,208.60530722291753,[5722.942324451458],[[43516.17420156781]],Ni07_peakData_combined.csv,
Ni07,55CO,09/24/2025 15:43:00,h,16714.86703536825,1722.5966056071713,"[16714.86703536825, 0.0]","[[2967339.065649349, 0.0], [0.0, 0.0]]",Ni07_peakData_combined.csv,
Ni08,57NI,09/23/2025 18:35:00,h,658091.2429155632,65748.30570106885,"[658091.2429155632, 0.0]","[[4322839702.561202, 0.0], [0.0, 0.0]]",Ni08_peakData_combined.csv,
Ni08,56CO,09/23/2025 18:35:00,h,5330.025758252672,115.8954106347508,[5330.025758252672],[[13431.746206197511]],Ni08_peakData_combined.csv,
Ni08,56NI,09/23/2025 18:35:00,h,2899.505881877955,405.7126305541479,"[2899.505881877955, 0.0]","[[164602.7385911665, 0.0], [0.0, 0.0]]",Ni08_peakData_combined.csv,
Ni08,58CO,09/23/2025 18:35:00,h,2113.607207738381,134.13420050759427,[2113.607207738381],[[17991.983745811503]],Ni08_peakData_combined.csv,
Ni08,57CO,09/23/2025 18:35:00,h,6616.396756748415,335.64515897632106,[6616.396756748415],[[112657.67274423984]],Ni08_peakData_combined.csv,
Ni08,55CO,09/23/2025 18:35:00,h,18394.71231229304,1934.6039823913882,"[18394.71231229304, 0.0]","[[3742692.568684619, 0.0], [0.0, 0.0]]",Ni08_peakData_combined.csv,
Ni09,57NI,09/23/2025 18:35:00,h,779096.977940126,86556.17247105484,"[779096.977940126, 0.0]","[[7491970992.838992, 0.0], [0.0, 0.0]]",Ni09_peakData_combined.csv,
Ni09,56CO,09/23/2025 18:35:00,h,1728.5377139207915,36.3122724487052,[1728.5377139207915],[[1318.581130388995]],Ni09_peakData_combined.csv,
Ni09,56NI,09/23/2025 18:35:00,h,1158.6311676282858,181.1481937980521,"[1158.6311676282858, 0.0]","[[32814.668116296634, 0.0], [0.0, 0.0]]",Ni09_peakData_combined.csv,
Ni09,58CO,09/23/2025 18:35:00,h,598.0257870277082,126.12914988070257,[598.0257870277082],[[15908.562449628735]],Ni09_peakData_combined.csv,
Ni09,57CO,09/23/2025 18:35:00,h,8191.032703544332,351.9246360157852,[8191.032703544332],[[123850.94943484291]],Ni09_peakData_combined.csv,
Ni09,55CO,09/23/2025 18:35:00,h,25529.98155988759,2801.6967111298836,"[25529.98155988759, 0.0]","[[7849504.461156007, 0.0], [0.0, 0.0]]",Ni09_peakData_combined.csv,
Ni10,57NI,09/23/2025 18:35:00,h,737588.310859465,100769.68123638422,"[737588.310859465, 0.0]","[[10154528656.482487, 0.0], [0.0, 0.0]]",Ni10_peakData_combined.csv,
Ni10,56CO,09/23/2025 18:35:00,h,656.8892702652172,10.17530042440238,[656.8892702652172],[[103.53673872684327]],Ni10_peakData_combined.csv,
Ni10,56NI,09/23/2025 18:35:00,h,702.6839677377113,104.53691305303956,"[702.6839677377113, 0.0]","[[10927.966190658752, 0.0], [0.0, 0.0]]",Ni10_peakData_combined.csv,
Ni10,58CO,09/23/2025 18:35:00,h,287.7485036558109,73.56789112423434,[287.7485036558109],[[5412.234604467198]],Ni10_peakData_combined.csv,
Ni10,57CO,09/23/2025 18:35:00,h,8833.127221002092,219.4129264265814,[8833.127221002092],[[48142.03228307642]],Ni10_peakData_combined.csv,
Ni10,55CO,09/23/2025 18:35:00,h,48464.711545561324,5598.111451043792,"[48464.711545561324, 0.0]","[[31338851.818307627, 0.0], [0.0, 0.0]]",Ni10_peakData_combined.csv,
Ni11,57NI,09/23/2025 18:35:00,h,488800.9950473919,74696.68559762632,"[488800.9950473919, 0.0]","[[5579594839.270635, 0.0], [0.0, 0.0]]",Ni11_peakData_combined.csv,
Ni11,56CO,09/23/2025 18:35:00,h,82.06106425428581,1.9128360124020585,[82.06106425428581],[[3.6589416103422083]],Ni11_peakData_combined.csv,
Ni11,56NI,09/23/2025 18:35:00,h,320.28477478195117,31.715000342182417,"[320.28477478195117, 0.0]","[[1005.8412467046309, 0.0], [0.0, 0.0]]",Ni11_peakData_combined.csv,
Ni11,58CO,09/23/2025 18:35:00,h,161.5907403135363,37.39840543805786,[161.5907403135363],[[1398.6407293093553]],Ni11_peakData_combined.csv,
Ni11,57CO,09/23/2025 18:35:00,h,8226.704224514922,245.2277159450601,[8226.704224514922],[[60136.63266763109]],Ni11_peakData_combined.csv,
Ni11,55CO,09/23/2025 18:35:00,h,123251.62286066647,4031.2594242789805,"[123251.62286066647, 0.0]","[[16251052.545838099, 0.0], [0.0, 0.0]]",Ni11_peakData_combined.csv,
Ni12,57NI,09/23/2025 18:35:00,h,54366.10897611892,14035.143561099909,"[54366.10897611892, 0.0]","[[196985254.78068423, 0.0], [0.0, 0.0]]",Ni12_peakData_combined.csv,
Ni12,56CO,09/23/2025 18:35:00,h,2.952503665717958,0.1355769960992802,[2.952503665717958],[[0.01838112187130424]],Ni12_peakData_combined.csv,
Ni12,56NI,09/23/2025 18:35:00,h,47.24594910150974,24.011491785290247,"[47.24594910150974, 0.0]","[[576.5517377550609, 0.0], [0.0, 0.0]]",Ni12_peakData_combined.csv,
Ni12,58CO,09/23/2025 18:35:00,h,70.77321768857537,3.964002064044294,[70.77321768857537],[[15.713312363747423]],Ni12_peakData_combined.csv,
Ni12,57CO,09/23/2025 18:35:00,h,3748.5630924856314,113.51255532132345,[3748.5630924856314],[[12885.100215576516]],Ni12_peakData_combined.csv,
Ni12,55CO,09/23/2025 18:35:00,h,161164.97312599132,1684.8699284344075,"[161164.97312599132, 0.0]","[[2838786.675742565, 0.0], [0.0, 0.0]]",Ni12_peakData_combined.csv,
Ni13,57NI,09/23/2025 18:35:00,h,,,[],[],Ni13_peakData_combined.csv,
Ni13,56CO,09/23/2025 18:35:00,h,4.146685571574551,0.2548653837946735,[4.146685571574551],[[0.06495636385680621]],Ni13_peakData_combined.csv,
Ni13,56NI,09/23/2025 18:35:00,h,66.47139150640199,15.962639138937122,"[66.47139150640199, 0.0]","[[254.80584827992726, 0.0], [0.0, 0.0]]",Ni13_peakData_combined.csv,
Ni13,58CO,09/23/2025 18:35:00,h,54.276107694200164,3.0330014202140743,[54.276107694200164],[[9.199097615020593]],Ni13_peakData_combined.csv,
Ni13,57CO,09/23/2025 18:35:00,h,310.41274216648134,9.536264212891735,[310.41274216648134],[[90.94033513807962]],Ni13_peakData_combined.csv,
Ni13,55CO,09/23/2025 18:35:00,h,92754.60311179048,848.4154760773146,"[92754.60311179048, 0.0]","[[719808.8200474962, 0.0], [0.0, 0.0]]",Ni13_peakData_combined.csv,
Ni14,57NI,09/23/2025 18:35:00,h,9162.605059485795,776.2967638745399,"[9162.605059485795, 0.0]","[[602636.6656020832, 0.0], [0.0, 0.0]]",Ni14_peakData_combined.csv,
Ni14,56CO,09/23/2025 18:35:00,h,2.4947189068461846,0.45771557223989257,[2.4947189068461846],[[0.2095035450708923]],Ni14_peakData_combined.csv,
Ni14,56NI,09/23/2025 18:35:00,h,53.68997996861158,24.380216610970322,"[53.68997996861158, 0.0]","[[594.3949619978332, 0.0], [0.0, 0.0]]",Ni14_peakData_combined.csv,
Ni14,58CO,09/23/2025 18:35:00,h,19.609143812450817,1.3740349928843394,[19.609143812450817],[[1.8879721616706664]],Ni14_peakData_combined.csv,
Ni14,57CO,09/23/2025 18:35:00,h,44.603819363449574,2.656573983799149,[44.603819363449574],[[7.057385331398482]],Ni14_peakData_combined.csv,
Ni14,55CO,09/23/2025 18:35:00,h,5354.817525865956,218.9870386145178,"[5354.817525865956, 0.0]","[[47955.323081156304, 0.0], [0.0, 0.0]]",Ni14_peakData_combined.csv,
