filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
DN09252025_Ni07_30cm_IDM.Spe,56CO,2015.215,63.266133392709186,8.537085085710286,0.03016,0.00012,0.000241562641488,5.076086406496852e-06,9308081.17476184,1728203.8314532246,4001.754589321514,742.9939086213348,1.451274696219664,09/25/2025 12:33:54,2170.0,2326.0
DN09252025_Ni07_30cm_IDM.Spe,56CO,2034.791,165.40198848427144,13.646732436788502,0.0776999999999999,0.0003,0.0002391305457963,5.030194748621039e-06,9541894.908049084,1100862.838088862,4102.276400708979,473.2858289290035,1.334857008328835,09/25/2025 12:33:54,2170.0,2326.0
DN09252025_Ni07_30cm_IDM.Spe,56CO,2598.5,228.1127895389545,14.961521219238085,0.1697,0.0004,0.0001859287478644,5.357822317766698e-06,7749456.148830621,756180.3567979124,3331.6664440372406,325.09903559669493,1.256547565894219,09/25/2025 12:33:54,2170.0,2326.0
DN09252025_Ni07_30cm_IDM.Spe,57NI,2804.2,135.04532503293797,10.594807659321562,0.00098,4e-05,0.0001722692438768,5.964499973579662e-06,857424142.564088,109886323.305607,368626.02861740673,47242.61535064789,1.1917719794408552,09/25/2025 12:33:54,2170.0,2326.0
EM09262025_Ni07_15cm_IDM.Spe,57CO,122.06065,110674.81342770036,671.0654068887857,0.856,0.0017,0.0098297143534124,0.0001485096596467,15460593.75179153,257781.11235888148,5353.391188293466,89.25938793590079,2.86613920484392,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,57NI,127.164,640479.8499794704,1352.435362373392,0.167,0.005,0.0098838427765798,0.0001550584653132,456094887.24519575,15457153.537409086,157927.59253642513,5352.199978327246,2.86613920484392,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,57CO,136.47356,13196.04146653845,251.75292782737395,0.1068,0.0008,0.0098936186945399,0.0001599336329858,14679433.061661914,403931.1245281732,5082.906184785981,139.8653478283148,1.2097052171386231,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,56NI,158.38,36373.38223100857,315.6100378062837,0.988,0.01,0.0094976036366588,0.0001323518629774,4556220.492412768,91058.12883382238,1577.6386746581609,31.529823003401106,1.3394877090317514,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,56NI,269.5,9346.108898547363,192.80488749684133,0.365,0.008,0.0060081579297774,5.50459211957898e-05,5009434.06827749,165909.83849034403,1734.568583198577,57.448005017432145,0.8083138253441231,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,55CO,477.2,3800.45479784235,139.38031662869497,0.2019999999999999,0.017,0.0034328967772564,2.4609207954563523e-05,6441922.407540207,602317.4750924738,2230.582551087329,208.5586825112444,1.1516611423654632,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,56NI,480.44,5122.857992172185,144.23721067713012,0.365,0.008,0.0034114859332297,2.4437793442727017e-05,4835795.205169968,188512.08386671304,1674.4443231197952,65.27426726686738,1.1516611423654632,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,56NI,749.95,4659.8733342997275,124.87819087795528,0.495,0.012,0.0022792168407873,1.9332701834378747e-05,4854844.231629788,193732.41441019543,1681.0402464092062,67.08186094535853,1.3536213979582747,09/26/2025 15:58:59,2457.0,2888.0
EM09262025_Ni07_15cm_IDM.Spe,58CO,810.7593,9941.32337931184,5615.578921659803,0.9945,0.049725,0.0021248183414062,1.92178683435282e-05,5529802.742216376,3136734.920726842,1914.7516420416816,1086.1270501131723,1.1513725116140765,09/26/2025 15:58:59,2457.0,2888.0
