name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.92422246666666,0.4560863428218195
Sn01,Sn,37.475,54.7478184,0.4603262183366343
Ta01,Ta,27.334,54.58118253333333,0.45715845861318394
Cu01,Cu,21.906,54.44629956666667,0.45826447617776234
AlA1,Al,599.0,52.10064207777779,1.5569210216758353
Ni02,Ni,23.091,49.698028699999995,0.49110216925093775
Sn02,Sn,37.211,49.51104483333334,0.49531013684018105
Ta02,Ta,27.396,49.336064066666665,0.49202752270118205
Cu02,Cu,22.235,49.1922313,0.4934696147014964
AlB2,Al,415.0,47.422113214285716,1.2456036907160248
Ni03,Ni,22.966,45.613997533333325,0.5238506998441912
Sn03,Sn,37.13,45.41555160000001,0.5288005052986491
Ta03,Ta,27.702,45.22880663333334,0.5258958685354598
Cu03,Cu,22.253,45.07462073333334,0.5277641577037944
AlC5,Al,261.5,43.856459560000005,0.969963303473181
Ni04,Ni,22.982,42.61586403333333,0.552081249255698
Sn04,Sn,36.99,42.4074286,0.5573797172802157
Ta04,Ta,27.518,42.21209233333334,0.554473728389863
Cu04,Cu,22.289,42.05016893333333,0.5565796541929365
AlE8E1,Al,136.6,41.3413167,0.7579012448649075
Ni05,Ni,22.942,40.62037456666667,0.5725901358736564
Sn05,Sn,8.004,40.50011573333333,0.5690839773464564
Ta05,Ta,27.197,40.39465946666667,0.5734048296829348
Cu05,Cu,22.311,40.22814350000001,0.5759135960145556
AlE4E3E2,Al,204.89999999999998,39.1663967,0.9056393577076421
Ni06,Ni,22.631,38.085030233333335,0.6017065171265913
Sn06,Sn,7.816,37.960680100000005,0.5982469435475544
Ta06,Ta,27.374,37.8503092,0.6029403655382185
Cu06,Cu,22.233,37.67549793333333,0.6057593928800412
AlE7E6E5,Al,204.89999999999998,36.556476833333335,0.9368488800032296
Ni07,Ni,22.529,35.41426676666667,0.6364273611619362
Sn07,Sn,7.917,35.283046733333336,0.6330827855944241
Ta07,Ta,27.539,35.165797733333335,0.6382252358074921
Cu07,Cu,22.258,34.98053086666667,0.6414744470207541
