name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.913959133333336,0.4568851160447765
Sn01,Sn,37.475,54.71381303333334,0.4621986154351095
Ta01,Ta,27.334,54.52474986666668,0.4579557592533536
Cu01,Cu,21.906,54.3716294,0.45923469931576383
AlA1,Al,599.0,51.700160350000004,1.7394944984931333
Ni02,Ni,23.091,48.95523176666667,0.4975686002461157
Sn02,Sn,37.211,48.74079893333334,0.5031132480587205
Ta02,Ta,27.396,48.54022210000001,0.49893981200634147
Cu02,Cu,22.235,48.375182699999996,0.500870816632436
AlB2,Al,415.0,46.334554975,1.3899518089497742
Ni03,Ni,22.966,44.24257313333334,0.5377382774034678
Sn03,Sn,37.13,44.01220806666667,0.5440899892863271
Ta03,Ta,27.702,43.79551023333333,0.5400475182752708
Cu03,Cu,22.253,43.61633536666667,0.5423393917058447
AlC5,Al,261.5,42.194921799999996,1.0669977062853009
Ni04,Ni,22.982,40.74239006666667,0.5729190945628032
Sn04,Sn,36.99,40.497777,0.5798802390186557
Ta04,Ta,27.518,40.268648733333336,0.5759303644930195
Cu04,Cu,22.289,40.078445099999996,0.5788176047938792
AlE8E1,Al,136.6,39.242399775,0.8019860373347841
Ni05,Ni,22.942,38.389564566666664,0.5995379568727457
Sn05,Sn,8.004,38.2471741,0.5948806414924963
Ta05,Ta,27.197,38.122426233333336,0.6006488469911625
Cu05,Cu,22.311,37.925346733333335,0.6039519708630228
AlE4E3E2,Al,204.89999999999998,36.660219100000006,0.9926947106571179
Ni06,Ni,22.631,35.36550536666667,0.6386562249007929
Sn06,Sn,7.816,35.216383533333335,0.634041765056148
Ta06,Ta,27.374,35.08406733333334,0.6404498394094229
Cu06,Cu,22.233,34.87424296666667,0.6443485872573418
AlE7E6E5,Al,204.89999999999998,33.519848562499995,1.0529464621084414
Ni07,Ni,22.529,32.129126666666664,0.6878875469790748
Sn07,Sn,7.917,31.968852566666666,0.6834488549970258
Ta07,Ta,27.539,31.825899533333335,0.690656403363097
Cu07,Cu,22.258,31.599619633333333,0.6954468505844753
