name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.88781813333334,0.46121321402490434
Sn01,Sn,37.475,54.62937960000001,0.46952786829307586
Ta01,Ta,27.334,54.385029200000005,0.46214684009957985
Cu01,Cu,21.906,54.1870044,0.46395850502026575
Al_degrader_A1,Al,599.0,50.70392363076923,2.194657376213367
Ni02,Ni,23.091,47.092632800000004,0.5172453360809485
Sn02,Sn,37.211,46.80776016666667,0.5263311820010657
Ta02,Ta,27.396,46.54099996666666,0.5189260089197035
Cu02,Cu,22.235,46.3212491,0.5218843956431891
Al_degrader_B2,Al,415.0,43.57325423333333,1.7614114872166429
Ni03,Ni,22.966,40.72475536666667,0.5785011943126814
Sn03,Sn,37.13,40.40837143333333,0.5891764017993922
Ta03,Ta,27.702,40.11062596666667,0.5819716220163994
Cu03,Cu,22.253,39.86380296666667,0.5858932167592762
Al_degrader_C5,Al,261.5,37.87894238,1.3406780369051836
Ni04,Ni,22.982,35.8275698,0.6386338592088271
Sn04,Sn,36.99,35.47983253333334,0.651126551924879
Ta04,Ta,27.518,35.15406456666667,0.6440010682945169
Cu04,Cu,22.289,34.8824776,0.6493661207913247
Al_degrader_E8_E1,Al,136.6,33.672063642857154,0.9726633347704279
Ni05,Ni,22.942,32.4256935,0.6894807060808519
Sn05,Sn,8.004,32.21685036666667,0.6807822890933627
Ta05,Ta,27.197,32.0346106,0.691599484071265
Cu05,Cu,22.311,31.7451095,0.6983319122569273
Al_degrader_E4_E3_E2,Al,204.89999999999998,29.8417046,1.3348997521001424
Ni06,Ni,22.631,27.860735766666668,0.775303261083953
Sn06,Sn,7.816,27.6300531,0.767006452285153
Ta06,Ta,27.374,27.42661973333334,0.7801561658607817
Cu06,Cu,22.233,27.1011938,0.789332410864751
Al_degrader_E7_E6_E5,Al,204.89999999999998,24.92260707333334,1.5125740908250747
Ni07,Ni,22.529,22.622864066666665,0.9117581776191878
Sn07,Sn,7.917,22.352967833333338,0.9046968490229046
Ta07,Ta,27.539,22.113979366666666,0.9222118867018932
Cu07,Cu,22.258,21.730583000000003,0.9369929669485252
