name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.91196706666666,0.45679081570823593
Sn01,Sn,37.475,54.707488966666666,0.46228518115076855
Ta01,Ta,27.334,54.51432486666667,0.457831546381034
Cu01,Cu,21.906,54.357913100000005,0.4591493215883659
AlA1,Al,599.0,51.626778980000005,1.7759863789540051
Ni02,Ni,23.091,48.818918566666675,0.4984630389192485
Sn02,Sn,37.211,48.599592333333334,0.5042427264137999
Ta02,Ta,27.396,48.3942921,0.4998854667597269
Cu02,Cu,22.235,48.22516196666667,0.5019400781967228
AlB2,Al,415.0,46.134772633333334,1.4032201021515394
Ni03,Ni,22.966,43.989368733333336,0.5398976163765332
Sn03,Sn,37.13,43.753104900000004,0.5465719070680362
Ta03,Ta,27.702,43.5308415,0.5423851908109986
Cu03,Cu,22.253,43.34695270000001,0.5448856124264768
AlC5,Al,261.5,41.887417242857154,1.070455246249316
Ni04,Ni,22.982,40.39414426666667,0.5766174616275469
Sn04,Sn,36.99,40.142799133333334,0.5838766657887453
Ta04,Ta,27.518,39.90726863333333,0.5798282391962861
Cu04,Cu,22.289,39.7116667,0.5827838719838113
AlE8E1,Al,136.6,38.85114145,0.8162218920685098
Ni05,Ni,22.942,37.97289716666667,0.6044865339762662
Sn05,Sn,8.004,37.826210100000004,0.5995469155881997
Ta05,Ta,27.197,37.69782323333334,0.6056204545919934
Cu05,Cu,22.311,37.494868800000006,0.6091198438073527
AlE4E3E2,Al,204.89999999999998,36.18984942857143,1.015880786123037
Ni06,Ni,22.631,34.853277733333336,0.6457573562344159
Sn06,Sn,7.816,34.69924136666667,0.6409052174922583
Ta06,Ta,27.374,34.56274583333334,0.6477413581561487
Cu06,Cu,22.233,34.3459293,0.6517709766997735
AlE7E6E5,Al,204.89999999999998,32.94412052500001,1.0810367555146885
Ni07,Ni,22.529,31.503267900000004,0.6983173878423216
Sn07,Sn,7.917,31.33706616666667,0.6936663746273413
Ta07,Ta,27.539,31.188906133333333,0.7013407251750384
Cu07,Cu,22.258,30.954294200000003,0.706442415567629
