name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.8922585,0.45978943279623485
Sn01,Sn,37.475,54.64242603333334,0.46758047260580243
Ta01,Ta,27.334,54.4063218,0.4607379314875504
Cu01,Cu,21.906,54.21494076666667,0.4625108865292566
Al_degrader_A1,Al,599.0,50.853000025,2.133169759383908
Ni02,Ni,23.091,47.37271113333334,0.5133255020836022
Sn02,Sn,37.211,47.09860403333333,0.5217510306110877
Ta02,Ta,27.396,46.84200666666666,0.51489740721386
Cu02,Cu,22.235,46.630518,0.5177636446063011
Al_degrader_B2,Al,415.0,43.99155045454546,1.7068950944224517
Ni03,Ni,22.966,41.26124106666667,0.5708465804576528
Sn03,Sn,37.13,40.958419366666675,0.5808965693347933
Ta03,Ta,27.702,40.67338983333334,0.5741095589664388
Cu03,Cu,22.253,40.43730803333334,0.5778288766138283
Al_degrader_C5,Al,261.5,38.54267327777779,1.2983426752883127
Ni04,Ni,22.982,36.58864473333334,0.6263320934234987
Sn04,Sn,36.99,36.2578581,0.6378230895771361
Ta04,Ta,27.518,35.94783123333333,0.631278570139849
Cu04,Cu,22.289,35.68968233333333,0.6361750276099775
Al_degrader_E8_E1,Al,136.6,34.5416944,0.9478034871965672
Ni05,Ni,22.942,33.361817200000004,0.6723262802520019
Sn05,Sn,8.004,33.16426273333333,0.6643278466022597
Ta05,Ta,27.197,32.99175793333333,0.6742110067852612
Cu05,Cu,22.311,32.71797253333334,0.6802960444141817
Al_degrader_E4_E3_E2,Al,204.89999999999998,30.926070600000006,1.2747773875526818
Ni06,Ni,22.631,29.067571166666667,0.7479197132281683
Sn06,Sn,7.816,28.851674633333335,0.740142395491029
Ta06,Ta,27.374,28.661077266666666,0.7519439656626875
Cu06,Cu,22.233,28.356733900000002,0.7599093221721414
Al_degrader_E7_E6_E5,Al,204.89999999999998,26.334379023076924,1.4237088902970079
Ni07,Ni,22.529,24.213367733333335,0.862042499168223
Sn07,Sn,7.917,23.965593966666667,0.8551797422395669
Ta07,Ta,27.539,23.746000733333332,0.8702395834095319
Cu07,Cu,22.258,23.394632466666668,0.8822856318973931
