name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.897913566666666,0.45944027554835193
Sn01,Sn,37.475,54.6588885,0.46670083697634046
Ta01,Ta,27.334,54.432967600000005,0.4604489302303134
Cu01,Cu,21.906,54.24998706666667,0.4621233599729935
Al_degrader_A1,Al,599.0,51.03950145833333,2.040363947058516
Ni02,Ni,23.091,47.72128026666667,0.5101313003374022
Sn02,Sn,37.211,47.4604075,0.5179496957013136
Ta02,Ta,27.396,47.216320100000004,0.5117451198295138
Cu02,Cu,22.235,47.015128066666676,0.5143626492390969
Al_degrader_B2,Al,415.0,44.510235449999996,1.6392457794861934
Ni03,Ni,22.966,41.92446486666667,0.5635446361785806
Sn03,Sn,37.13,41.638146633333335,0.5726542421321952
Ta03,Ta,27.702,41.368788200000004,0.5665748937319997
Cu03,Cu,22.253,41.1455934,0.5698980334613435
Al_degrader_C5,Al,261.5,39.36021637500001,1.247626164234247
Ni04,Ni,22.982,37.5231489,0.6138548485557943
Sn04,Sn,36.99,37.2125518,0.6242117634666088
Ta04,Ta,27.518,36.9215439,0.6182840666226623
Cu04,Cu,22.289,36.679405833333334,0.6226675252219055
Al_degrader_E8_E1,Al,136.6,35.60581808333333,0.9046456930236978
Ni05,Ni,22.942,34.50425776666666,0.6546677259671598
Sn05,Sn,8.004,34.319945233333335,0.6474298940173205
Ta05,Ta,27.197,34.15895413333334,0.6562603168684276
Cu05,Cu,22.311,33.903729500000004,0.66159183098777
Al_degrader_E4_E3_E2,Al,204.89999999999998,32.241294611111115,1.2064068539739836
Ni06,Ni,22.631,30.523616099999998,0.7196636435313305
Sn06,Sn,7.816,30.324559266666668,0.7126612021763653
Ta06,Ta,27.374,30.148644100000002,0.7229676421079922
Cu06,Cu,22.233,29.868193966666666,0.729711597991699
Al_degrader_E7_E6_E5,Al,204.89999999999998,28.02003663333334,1.321798969204974
Ni07,Ni,22.529,26.093876766666668,0.8129054676571433
Sn07,Sn,7.917,25.869864200000002,0.8064646883517963
Ta07,Ta,27.539,25.671041333333335,0.8191333442272319
Cu07,Cu,22.258,25.35386046666667,0.828645455023105
