name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.89099556666667,0.4602727381821336
Sn01,Sn,37.475,54.639011566666674,0.4682291080936898
Ta01,Ta,27.334,54.40083933333334,0.46122985829868196
Cu01,Cu,21.906,54.20784463333334,0.46300880667779837
Al_degrader_A1,Al,599.0,50.81552761666667,2.1519110494598332
Ni02,Ni,23.091,47.3026618,0.5144679920274535
Sn02,Sn,37.211,47.025896800000005,0.5230719285303186
Ta02,Ta,27.396,46.76681716666667,0.5160372269245429
Cu02,Cu,22.235,46.553208233333336,0.5189457234678262
Al_degrader_B2,Al,415.0,43.887012,1.7235008154761369
Ni03,Ni,22.966,41.127463633333335,0.5729421979375106
Sn03,Sn,37.13,40.8212479,0.5830943492085335
Ta03,Ta,27.702,40.53308996666667,0.5762026270673645
Cu03,Cu,22.253,40.294344833333334,0.5799817000762226
Al_degrader_C5,Al,261.5,38.37734922222222,1.3118662601379323
Ni04,Ni,22.982,36.399344400000004,0.6295852313404224
Sn04,Sn,36.99,36.06427683333334,0.6413898154502499
Ta04,Ta,27.518,35.75047416666666,0.6346319814133534
Cu04,Cu,22.289,35.48905643333333,0.6395953447417194
Al_degrader_E8_E1,Al,136.6,34.325612383333336,0.9572125273347885
Ni05,Ni,22.942,33.12952703333333,0.6767719810264993
Sn05,Sn,8.004,32.929185266666664,0.6685702956380843
Ta05,Ta,27.197,32.75429853333333,0.6786825246592467
Cu05,Cu,22.311,32.47666843333334,0.6848651239454955
Al_degrader_E4_E3_E2,Al,204.89999999999998,30.657792745454543,1.2833622518532781
Ni06,Ni,22.631,28.7693212,0.7547457262088736
Sn06,Sn,7.816,28.549854,0.7468494038407832
Ta06,Ta,27.374,28.3561516,0.7589783733089984
Cu06,Cu,22.233,28.046720533333335,0.7672532861437494
Al_degrader_E7_E6_E5,Al,204.89999999999998,25.987050699999998,1.442139031310612
Ni07,Ni,22.529,23.823305666666666,0.8740240495744699
Sn07,Sn,7.917,23.5703025,0.8671053445191939
Ta07,Ta,27.539,23.346074766666664,0.8827033453412377
Cu07,Cu,22.258,22.98719236666667,0.8953882832948687
