file,name,E_min,E_max,phi_int,<sigma>_Co56,<sigma>_Co58,<sigma>_Zn62,<sigma>_Zn63,<sigma>_Zn65
stack_55MeV_dp_0.800_fluxes.csv,Cu01,52.05,56.75,0.0999999499999999,0.9986733791242084,31.373962417837706,11.323795038087994,16.477337265580978,4.3733198629099315
stack_55MeV_dp_0.800_fluxes.csv,Cu02,46.75,51.85000000000001,0.09999996666666655,0.15905137593379232,40.73486281747401,12.692369226678636,21.813493732128055,4.895705813429716
stack_55MeV_dp_0.800_fluxes.csv,Cu03,42.55,47.95,0.09999994999999988,0.04680656506994928,51.37194233288603,12.625182975091489,28.22929265203297,5.390140477014682
stack_55MeV_dp_0.800_fluxes.csv,Cu04,39.45,45.150000000000006,0.09999996666666654,0.0029040993013664516,56.634165195773846,12.632323552872403,34.58882193949491,5.814864378010348
stack_55MeV_dp_0.800_fluxes.csv,Cu05,37.55,43.45,0.09999994999999987,1.6000008000004198e-07,57.37531392985963,12.91764287412796,39.05491762352485,6.099294371036075
stack_55MeV_dp_0.800_fluxes.csv,Cu06,34.95,41.150000000000006,0.09999996666666659,0.0,54.5118996824095,13.94885440755976,45.58345355105816,6.542027992453774
stack_55MeV_dp_0.800_fluxes.csv,Cu07,32.150000000000006,38.75,0.09999996666666651,0.0,46.00059466859971,16.415011088260826,51.07589995153018,7.075353714673459
stack_55MeV_dp_0.810_fluxes.csv,Cu01,52.150000000000006,56.55,0.09999994999999988,0.9962433700407577,31.380154583646462,11.326472228308868,16.482714972639513,4.373935442384387
stack_55MeV_dp_0.810_fluxes.csv,Cu02,46.85000000000001,51.45,0.09999979999999989,0.1554687428819305,40.924399857258436,12.697761516439698,21.910639030672705,4.904084909280929
stack_55MeV_dp_0.810_fluxes.csv,Cu03,42.55,47.55,0.09999988333333322,0.04456520532607295,51.683452138164505,12.618979470476049,28.480524001599097,5.407833266916588
stack_55MeV_dp_0.810_fluxes.csv,Cu04,39.45,44.75,0.09999994999999988,0.0016629641648154237,56.801983005498776,12.648252009615426,35.01271840184899,5.842081265762855
stack_55MeV_dp_0.810_fluxes.csv,Cu05,37.55,42.95,0.09999983333333318,0.0,57.317999772694115,12.970568606182676,39.590946275822525,6.133843315016637
stack_55MeV_dp_0.810_fluxes.csv,Cu06,34.85,40.650000000000006,0.09999996666666662,0.0,53.96204476077638,14.107763264505191,46.20324812792223,6.58893965992433
stack_55MeV_dp_0.810_fluxes.csv,Cu07,32.05,38.150000000000006,0.09999996666666652,0.0,44.64845061760143,16.82799355334273,51.46885121299653,7.140437747465359
stack_55MeV_dp_0.820_fluxes.csv,Cu01,52.05,57.05,0.09999996666666655,0.993662121872825,31.387126565842404,11.32936565540363,16.488621601808447,4.374605088618363
stack_55MeV_dp_0.820_fluxes.csv,Cu02,46.650000000000006,51.95,0.09999994999999988,0.15204104949274733,41.11716622127965,12.70275745412873,22.009665157155627,4.912586095320826
stack_55MeV_dp_0.820_fluxes.csv,Cu03,42.35000000000001,48.05,0.09999994999999988,0.04241143870571942,51.99144449442313,12.61299327524664,28.73647273989667,5.42576137107513
stack_55MeV_dp_0.820_fluxes.csv,Cu04,39.150000000000006,45.150000000000006,0.0999999666666665,0.0008804536268178733,56.950521807504884,12.666827159095824,35.444585259215486,5.869683328922221
stack_55MeV_dp_0.820_fluxes.csv,Cu05,37.150000000000006,43.45,0.0999999666666665,5.000001666667278e-08,57.22796524057464,13.028890726814371,40.13394915422987,6.16902713745349
stack_55MeV_dp_0.820_fluxes.csv,Cu06,34.45,41.05,0.09999996666666658,0.0,53.35627804775086,14.281053772399362,46.814278489740154,6.636951035317014
stack_55MeV_dp_0.820_fluxes.csv,Cu07,31.55,38.55,0.0999999666666665,0.0,43.196438420302776,17.281592392606722,51.79814514514042,7.207300523322399
stack_55MeV_dp_0.830_fluxes.csv,Cu01,52.05,56.55,0.09999988333333322,0.9913556964196698,31.393006337077725,11.331902301928345,16.493724335269693,4.375192967308461
stack_55MeV_dp_0.830_fluxes.csv,Cu02,46.55,51.45,0.09999994999999984,0.14880936384912669,41.30833286969423,12.707342847199204,22.108053700218164,4.92100096994493
stack_55MeV_dp_0.830_fluxes.csv,Cu03,42.25,47.35000000000001,0.09999986666666653,0.04035961714615625,52.29248005129041,12.607302473069966,28.993775102277787,5.44368926214124
stack_55MeV_dp_0.830_fluxes.csv,Cu04,38.95,44.45,0.09999991666666652,0.00042866369055307325,57.07884544340433,12.6878406614532,35.87953639809983,5.897367852250988
stack_55MeV_dp_0.830_fluxes.csv,Cu05,37.05,42.650000000000006,0.09999989999999986,0.0,57.10708946719941,13.092042122716135,40.677978926622885,6.204487111431555
stack_55MeV_dp_0.830_fluxes.csv,Cu06,34.25,40.25,0.09999994999999991,0.0,52.699220986116956,14.4679848278523,47.410047007226595,6.685705719297305
stack_55MeV_dp_0.830_fluxes.csv,Cu07,31.35,37.650000000000006,0.09999993333333317,0.0,41.65499940185262,17.775212018634914,52.05680942216965,7.275466612061073
stack_55MeV_dp_0.840_fluxes.csv,Cu01,52.150000000000006,56.650000000000006,0.09999994999999991,0.9885509269557194,31.400473522866584,11.335028216958552,16.500086324293296,4.375917712542188
stack_55MeV_dp_0.840_fluxes.csv,Cu02,46.650000000000006,51.35000000000001,0.09999981666666655,0.14567332331775973,41.5050140649938,12.711616408102303,22.20955283994436,4.9296435610826395
stack_55MeV_dp_0.840_fluxes.csv,Cu03,42.150000000000006,47.35000000000001,0.0999999499999999,0.03838048585690965,52.59205871060794,12.60188623469312,29.258192171763717,5.462005092252546
