name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.91782503333334,0.45608580499726026
Sn01,Sn,37.475,54.726302866666664,0.4609815895150068
Ta01,Ta,27.334,54.54541576666668,0.4571480957757696
Cu01,Cu,21.906,54.39892703333334,0.4583797502172177
Al_degrader_A1,Al,599.0,51.845976177777786,1.6840482508161534
Ni02,Ni,23.091,49.226456466666676,0.4945788397261339
Sn02,Sn,37.211,49.022164833333335,0.4997003837267277
Ta02,Ta,27.396,48.83100026666667,0.49595373789624997
Cu02,Cu,22.235,48.67365366666667,0.4977550643170014
Al_degrader_B2,Al,415.0,46.73273186250001,1.3293893551842821
Ni03,Ni,22.966,44.74531693333334,0.5321166747558868
Sn03,Sn,37.13,44.52672333333334,0.5379304819914517
Ta03,Ta,27.702,44.3210459,0.5343285787726406
Cu03,Cu,22.253,44.15120303333333,0.5364616196686074
Al_degrader_C5,Al,261.5,42.80536506666667,1.0218417389170378
Ni04,Ni,22.982,41.4313416,0.5645842636631903
Sn04,Sn,36.99,41.20032656666667,0.5708984264772606
Ta04,Ta,27.518,40.98380496666667,0.5673486590231198
Cu04,Cu,22.289,40.8041842,0.5699836305869026
Al_degrader_E8_E1,Al,136.6,40.015945625,0.7737502808034123
Ni05,Ni,22.942,39.2123738,0.5888955672048823
Sn05,Sn,8.004,39.078323466666674,0.5845368490545734
Ta05,Ta,27.197,38.960830933333334,0.5896540546934808
Cu05,Cu,22.311,38.77534906666667,0.5927020483788314
Al_degrader_E4_E3_E2,Al,204.89999999999998,37.586779316666664,0.9616590578433714
Ni06,Ni,22.631,36.373021533333336,0.6238515440415149
Sn06,Sn,7.816,36.23321073333334,0.6196791324479647
Ta06,Ta,27.374,36.10925616666667,0.6253873013676983
Cu06,Cu,22.233,35.912713366666665,0.6288084209900492
Al_degrader_E7_E6_E5,Al,204.89999999999998,34.648187414285715,1.009869184720137
Ni07,Ni,22.529,33.3530529,0.6671442596132588
Sn07,Sn,7.917,33.20400853333334,0.663127145923401
Ta07,Ta,27.539,33.070863900000006,0.6695645507916246
Cu07,Cu,22.258,32.860374033333336,0.6736718460044665
