name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.079,54.91085613333333,0.4567098470243979
Sn01,Sn,37.475,54.702071133333334,0.46242294897642017
Ta01,Ta,27.334,54.504823333333334,0.45776623814878364
Cu01,Cu,21.906,54.345090033333335,0.4591171842721626
Al_degrader_A1,Al,599.0,51.55430099,1.8125383351766715
Ni02,Ni,23.091,48.68354436666667,0.49942960678317705
Sn02,Sn,37.211,48.459047966666674,0.5054933540273953
Ta02,Ta,27.396,48.248957000000004,0.5009234527194083
Cu02,Cu,22.235,48.07595106666667,0.5029680196647983
Al_degrader_B2,Al,415.0,45.93492576666667,1.4335835858049617
Ni03,Ni,22.966,43.736192200000005,0.5423157302953941
Sn03,Sn,37.13,43.49386663333334,0.5491919110353553
Ta03,Ta,27.702,43.26579736666667,0.5447838346901753
Cu03,Cu,22.253,43.07721686666667,0.5472664087707639
Al_degrader_C5,Al,261.5,41.578869457142865,1.0930950214289918
Ni04,Ni,22.982,40.04490266666667,0.5803471408213842
Sn04,Sn,36.99,39.7865533,0.5880004531680029
Ta04,Ta,27.518,39.54441653333334,0.5836944048329704
Cu04,Cu,22.289,39.34337583333333,0.586828240415631
Al_degrader_E8_E1,Al,136.6,38.457921375,0.8308069296281237
Ni05,Ni,22.942,37.5538632,0.6095864136328504
Sn05,Sn,8.004,37.40280246666667,0.604363389179542
Ta05,Ta,27.197,37.27059543333334,0.6107298459977858
Cu05,Cu,22.311,37.06163503333334,0.6143901822126818
Al_degrader_E4_E3_E2,Al,204.89999999999998,35.71580822857143,1.0397961558034916
Ni06,Ni,22.631,34.33634036666667,0.6531786517361583
Sn06,Sn,7.816,34.177256633333336,0.6480505015861024
Ta06,Ta,27.374,34.036329333333335,0.6552040645525806
Cu06,Cu,22.233,33.81254493333333,0.65954570575586
Al_degrader_E7_E6_E5,Al,204.89999999999998,32.361823525000005,1.1103360850465838
Ni07,Ni,22.529,30.868886866666667,0.7093103361252973
Sn07,Sn,7.917,30.696609066666664,0.7043877447148426
Ta07,Ta,27.539,30.54306306666667,0.712533240597187
Cu07,Cu,22.258,30.29970326666667,0.7180804355706462
