Sample,Length (mm),Width (mm),Thickness (mm),Mass (g)
Cu 01,25.66,24.87,0.030,0.1398
Cu 02,25.34,25.34,0.030,0.1427
Cu 03,25.39,25.30,0.029,0.1429
Cu 04,25.37,25.47,0.029,0.1440
Cu 05,25.34,25.31,0.030,0.1431
Cu 06,24.72,25.39,0.030,0.1395
Cu 07,25.40,25.44,0.030,0.1438
Cu 08,25.19,25.18,0.030,0.1408
Cu 09,25.16,25.00,0.029,0.1389
Cu 10,25.40,25.30,0.029,0.0295
Cu 11,24.84,24.93,0.030,0.1375
Cu 12,25.07,24.94,0.030,0.1386
Cu 13,24.96,24.75,0.030,0.1369
Cu 14,25.04,24.84,0.029,0.1376
