,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,CC220217_Ti06_18cm_50MeV.Spe,47SC,159.381,8668.053658179579,14104.91346750901,0.6829999999999999,0.004,0.0053405203752155,0.000445627439592,2380494.4442940555,3878809.9003057,456.2956573306605,743.4943262997316,1.5480139471487455,02/22/2017 09:31:51,5208.0,5217.0
1,CC220217_Ti06_18cm_50MeV.Spe,47V,159.8,23096.438511802524,14113.31532405081,0.00107,6e-05,0.0053329486705138,0.0004414183605114,4054559671.443178,2510664693.552107,777182.2256935362,481246.82644280366,1.5480139471487455,02/22/2017 09:31:51,5208.0,5217.0
2,CC220217_Ti06_18cm_50MeV.Spe,47V,244.4,14.503705429864022,32.17215652390145,0.00094,5e-05,0.0038978457803023,0.0002053758486704,3965302.520941924,8862230.267033149,760.0733220130197,1698.721538630084,0.9600025295158862,02/22/2017 09:31:51,5208.0,5217.0
3,CC220217_Ti06_18cm_50MeV.Spe,44SCm,271.241,9361.129836084923,97.384186029924,0.867,0.003,0.0035735209794589,0.0001640540738755,3026653.443414654,146240.54770755538,580.15208806108,28.031540676165495,0.9425830172593048,02/22/2017 09:31:51,5208.0,5217.0
4,CC220217_Ti06_18cm_50MeV.Spe,44K,368.207,17.13976115911941,18.047369293811563,0.023,0.004,0.0027939925587355,0.0001270670350437,267178.52369056403,292602.41492237616,51.21305802004294,56.08633600198891,0.7455137407685986,02/22/2017 09:31:51,5208.0,5217.0
5,CC220217_Ti06_18cm_50MeV.Spe,44K,651.355,46.41434572115343,15.60981206661724,0.03,0.005,0.0018162164145012,0.0001083815353234,853322.5899864343,347660.87497396104,163.56576384635505,66.63999903660361,0.5152037642676551,02/22/2017 09:31:51,5208.0,5217.0
6,CC220217_Ti06_18cm_50MeV.Spe,44K,726.49,59.82086206065468,36.75363279404525,0.038,0.006,0.0016714457844856,9.144430268075584e-05,943466.8332404732,612978.7395239304,180.8447063907367,117.49640397238458,1.5318506915881764,02/22/2017 09:31:51,5208.0,5217.0
7,CC220217_Ti06_18cm_50MeV.Spe,46SC,889.277,4892.298644649374,90.9266901467698,0.99984,1e-05,0.0014277692710629,6.29815803956294e-05,3433003.7934726244,171502.09488783713,658.0417468799357,32.873700381030694,1.710779078962593,02/22/2017 09:31:51,5208.0,5217.0
8,CC220217_Ti06_18cm_50MeV.Spe,48V,944.13,925.1435025434258,32.114968306921824,0.0787,7.000000000000001e-05,0.00136076507378,5.850219868836886e-05,8653684.90882656,556469.985445538,1658.747346909442,106.66474706642477,0.8539181159021303,02/22/2017 09:31:51,5208.0,5217.0
9,CC220217_Ti06_18cm_50MeV.Spe,48V,983.525,10647.31467113581,3359.74546873921,0.9998,0.0004,0.0013159214363532,5.693680556341623e-05,8106751.424028483,2583207.1651628213,1553.91056623126,495.15184304443574,0.8964712889098341,02/22/2017 09:31:51,5208.0,5217.0
10,CC220217_Ti06_18cm_50MeV.Spe,48SC,983.526,1970.9290174657392,3362.1398568748477,1.001,0.006,0.0013159203306882,5.6936778942054086e-05,1498846.5427242585,2557891.553321731,287.30046822393297,490.2993201690111,0.8964712889098341,02/22/2017 09:31:51,5208.0,5217.0
11,CC220217_Ti06_18cm_50MeV.Spe,44K,1024.738,78.09128082174797,27.207736593737767,0.067,0.01,0.0012717252944632,5.627027501961019e-05,918087.966413492,365427.99388799246,175.98005873365764,70.0456189166173,1.4634396136099876,02/22/2017 09:31:51,5208.0,5217.0
12,CC220217_Ti06_18cm_50MeV.Spe,48SC,1037.522,715.599310084697,37.4148253872684,0.976,0.0069999999999999,0.0012586231293875,5.620432380162361e-05,583544.8603206236,45861.77869824954,111.85448731466812,8.790833563015054,1.4634396136099876,02/22/2017 09:31:51,5208.0,5217.0
13,CC220217_Ti06_18cm_50MeV.Spe,46SC,1120.545,3903.294577806063,78.83913957024511,0.99987,1e-05,0.001180150327774,5.7397918871479176e-05,3313601.8198535633,182387.46629257625,635.1546520708383,34.96021972255631,1.6524100583608223,02/22/2017 09:31:51,5208.0,5217.0
14,CC220217_Ti06_18cm_50MeV.Spe,44K,1126.076,54.7288255198209,15.38046243885607,0.076,0.012,0.001175293091507,5.7577747524944344e-05,613770.78686343,216636.53459633916,117.6482244323232,41.52511684806194,1.6524100583608223,02/22/2017 09:31:51,5208.0,5217.0
15,CC220217_Ti06_18cm_50MeV.Spe,44K,1157.002,3347.841033181666,76.16268304816309,0.58,0.09,0.0011488623729952,5.875987026606528e-05,5032904.501105407,834774.5103455237,964.712382807247,160.01044859987036,1.828208802903224,02/22/2017 09:31:51,5208.0,5217.0
16,CC220217_Ti06_18cm_50MeV.Spe,47CA,1297.09,54.09001082404022,11.248332724333125,0.67,0.0335,0.0010423886590288,6.566354535729314e-05,77582.2640205377,20260.92983418188,14.871049265964672,3.88363615759668,1.0794181496532045,02/22/2017 09:31:51,5208.0,5217.0
17,CC220217_Ti06_18cm_50MeV.Spe,48V,1312.106,7645.30303127698,3093.8309921112273,0.982,0.003,0.0010321102586542,6.642812225381666e-05,7556261.558662392,3097523.476092184,1448.3920948174032,593.736529824072,1.0794181496532045,02/22/2017 09:31:51,5208.0,5217.0
18,CC220217_Ti06_18cm_50MeV.Spe,48SC,1312.12,2304.5371705854077,3096.8329097034725,1.001,0.0069999999999999,0.0010321007680219,6.642883160523057e-05,2234484.774837886,3006539.7461701916,428.3083716384677,576.2966735998067,1.0794181496532045,02/22/2017 09:31:51,5208.0,5217.0
