sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Cu08,65ZN,09/23/2025 18:35:00,h,172.66004026143202,8.115187908865257,[172.66004026143202],[[65.85627479619288]],Cu08_IDM_peakData_combined.csv,
Cu08,56CO,09/23/2025 18:35:00,h,2.256952345985176,inf,[2.256952345985176],[[inf]],Cu08_IDM_peakData_combined.csv,
Cu08,58CO,09/23/2025 18:35:00,h,378.56638924547906,26.871623094978737,[378.56638924547906],[[722.0841277585946]],Cu08_IDM_peakData_combined.csv,
Cu09,62ZN,09/23/2025 18:35:00,h,682572.6765744635,16133.16269036754,"[682572.6765744635, 0.0]","[[260278938.3938672, 0.0], [0.0, 0.0]]",Cu09_IDM_peakData_combined.csv,
Cu09,63ZN,09/23/2025 18:35:00,h,2639652.631465469,68730.80837045652,[2639652.631465469],[[4723924019.256415]],Cu09_IDM_peakData_combined.csv,
Cu09,65ZN,09/23/2025 18:35:00,h,179.05388948652927,8.466895260102868,[179.05388948652927],[[71.68831534555243]],Cu09_IDM_peakData_combined.csv,
Cu09,56CO,09/23/2025 18:35:00,h,,,[],[],Cu09_IDM_peakData_combined.csv,
Cu09,58CO,09/23/2025 18:35:00,h,15.42236276821404,inf,[15.42236276821404],[[inf]],Cu09_IDM_peakData_combined.csv,
Cu10,62ZN,09/23/2025 18:35:00,h,758221.1125761456,12223.193492831779,"[758221.1125761456, 0.0]","[[149406459.16320512, 0.0], [0.0, 0.0]]",Cu10_IDM_peakData_combined.csv,
Cu10,63ZN,09/23/2025 18:35:00,h,2735656.012481075,89177.22445749493,[2735656.012481075],[[7952577361.942431]],Cu10_IDM_peakData_combined.csv,
Cu10,65ZN,09/23/2025 18:35:00,h,266.8129467749812,40.55551106057712,[266.8129467749812],[[1644.7494773845929]],Cu10_IDM_peakData_combined.csv,
Cu10,56CO,09/23/2025 18:35:00,h,5.462222566521383,inf,[5.462222566521383],[[inf]],Cu10_IDM_peakData_combined.csv,
